model_name,split,metric,persisted,recomputed,difference,tolerance,tolerance_fraction
random_forest,test,SixPathMAE_dB,7.865843736797946,7.865843737112446,3.1449953752371584e-10,0.0001,3.1449953752371584e-06
random_forest,test,SixPathRMSE_dB,12.779994389649143,12.779994392135318,2.4861748215698753e-09,0.0001,2.4861748215698753e-05
neural_mlp,validation,MAE_dB,7.329556287235543,7.329556285646306,-1.5892371862946675e-09,0.0001,1.5892371862946675e-05
neural_mlp,validation,RMSE_dB,10.81187717062114,10.811877170018205,-6.029345911429118e-10,0.0001,6.029345911429118e-06
neural_mlp,test,MAE_dB,7.507316807382555,7.507316807629688,2.4713298074630075e-10,0.0001,2.4713298074630075e-06
neural_mlp,test,RMSE_dB,12.33244634711864,12.33244634669568,-4.2296122160223604e-10,0.0001,4.22961221602236e-06
neural_mlp,validation,SixPathMAE_dB,7.444726854292206,7.444726854837132,5.449258821954572e-10,0.0001,5.449258821954572e-06
neural_mlp,validation,SixPathRMSE_dB,10.98328405842284,10.983284060485643,2.062803261537738e-09,0.0001,2.062803261537738e-05
neural_mlp,test,SixPathMAE_dB,7.62364021150761,7.623640211574189,6.657963069756079e-11,0.0001,6.657963069756079e-07
neural_mlp,test,SixPathRMSE_dB,12.483478103949505,12.483478106495498,2.5459936381366788e-09,0.0001,2.5459936381366788e-05
polynomial_neural_mlp,validation,MAE_dB,7.318299676495382,7.318299675284216,-1.2111662783809152e-09,0.0001,1.2111662783809152e-05
polynomial_neural_mlp,validation,RMSE_dB,10.808962657342212,10.80896265690994,-4.3227110779753275e-10,0.0001,4.3227110779753275e-06
polynomial_neural_mlp,test,MAE_dB,7.508710355193344,7.508710355514788,3.214442045873511e-10,0.0001,3.2144420458735112e-06
polynomial_neural_mlp,test,RMSE_dB,12.34253066350086,12.342530663107933,-3.929265801616566e-10,0.0001,3.929265801616566e-06
polynomial_neural_mlp,validation,SixPathMAE_dB,7.432720128085291,7.432720128808382,7.230918086520433e-10,0.0001,7.2309180865204326e-06
polynomial_neural_mlp,validation,SixPathRMSE_dB,10.979886534821857,10.979886536965887,2.144030730732993e-09,0.0001,2.144030730732993e-05
polynomial_neural_mlp,test,SixPathMAE_dB,7.622126112464035,7.622126112569672,1.056372767038738e-10,0.0001,1.056372767038738e-06
polynomial_neural_mlp,test,SixPathRMSE_dB,12.489158981435564,12.489158984000893,2.5653292823335505e-09,0.0001,2.5653292823335505e-05
curve_neural,validation,MAE_dB,7.167914867401123,7.167915347287909,4.798867863087253e-07,0.0001,0.004798867863087253
curve_neural,validation,RMSE_dB,10.740887350297337,10.740886776197122,-5.741002144787899e-07,0.0001,0.005741002144787899
curve_neural,test,MAE_dB,7.388283729553223,7.388283047789276,-6.817639466305536e-07,0.0001,0.006817639466305536
curve_neural,test,RMSE_dB,12.309734827899549,12.309735421806682,5.939071332505819e-07,0.0001,0.005939071332505819
curve_neural,validation,SixPathMAE_dB,7.238891746859502,7.238891746859506,4.440892098500626e-15,0.0001,4.440892098500626e-11
curve_neural,validation,SixPathRMSE_dB,10.868330261717489,10.868330261716219,-1.270095140171179e-12,0.0001,1.270095140171179e-08
curve_neural,test,SixPathMAE_dB,7.459819898359438,7.45981989835944,1.7763568394002505e-15,0.0001,1.7763568394002505e-11
curve_neural,test,SixPathRMSE_dB,12.421352313475268,12.42135231347418,-1.0871303857129533e-12,0.0001,1.0871303857129533e-08
