frequency_ghz,truth_il_s7_1_db,curve_il_s7_1_db,full_matrix_il_s7_1_db,truth_s1_1_real,truth_s1_1_imag,prediction_s1_1_real,prediction_s1_1_imag,truth_s8_1_real,truth_s8_1_imag,prediction_s8_1_real,prediction_s8_1_imag
35.0,15.783375,16.963434,20.316141,-0.17472817,-0.34863192,-0.14001818,-0.22563045,-0.06619485,-0.033804134,0.005276412,-0.019333227
35.5,17.580936,17.172155,20.416172,-0.24531066,-0.28384745,-0.14777136,-0.23714341,-0.034454595,0.03778551,0.004225153,-0.018981246
36.0,15.75138,17.473194,20.490416,-0.25207594,-0.3651875,-0.15715513,-0.25596336,0.047903992,0.026883617,0.0034892652,-0.018932888
36.5,17.69777,17.746893,20.690353,-0.28040105,-0.28229266,-0.16905545,-0.27126268,0.032313216,-0.04019381,0.002774577,-0.018755186
37.0,16.80079,18.001179,20.906351,-0.28746873,-0.37068018,-0.18400931,-0.28449365,-0.048216786,-0.016212579,0.0019879835,-0.018435162
37.5,19.386507,18.231535,21.145138,-0.31435052,-0.31037152,-0.1972918,-0.29523557,-0.018001053,0.042290106,0.0012475941,-0.018073386
38.0,18.368395,18.39951,21.425562,-0.35068354,-0.37555104,-0.2110055,-0.30409077,0.037622355,0.003830401,0.0008578069,-0.018011577
38.5,19.411146,18.442064,21.829082,-0.35410646,-0.28949556,-0.2283517,-0.3007231,0.014666181,-0.034773044,-0.0003007248,-0.016596276
39.0,18.810179,18.59684,22.590267,-0.38859335,-0.35342187,-0.23563084,-0.27922878,-0.033533055,-0.004363069,-0.0022266107,-0.01450298
39.5,19.039928,18.794668,23.164217,-0.3697349,-0.27195168,-0.25766188,-0.26828197,-0.010740611,0.038712744,-0.003454973,-0.013962224
40.0,19.684315,19.003881,23.530724,-0.40777987,-0.33479148,-0.2802086,-0.25979045,0.033333555,-0.0013266716,-0.003925783,-0.0143523
40.5,19.414978,19.18766,23.696304,-0.36953357,-0.27811232,-0.29903993,-0.25478622,0.0013462497,-0.037381466,-0.004670053,-0.014220647
41.0,20.56947,19.35973,23.619995,-0.4394057,-0.3332782,-0.31384447,-0.25684527,-0.028168663,0.0037561245,-0.0061444007,-0.013282329
41.5,19.570866,19.525072,23.608286,-0.3899429,-0.27857146,-0.3257184,-0.25637165,0.0024243447,0.03810763,-0.007223375,-0.012282222
42.0,21.666111,19.658072,23.552874,-0.46810526,-0.32996842,-0.33426967,-0.25302282,0.02913188,-0.0074035386,-0.007846794,-0.011563339
42.5,19.224667,19.834368,23.631666,-0.42567158,-0.2899433,-0.34221256,-0.24642153,-0.013953228,-0.035892986,-0.008224574,-0.011055807
43.0,21.576754,19.958433,23.748035,-0.5301976,-0.31049687,-0.3503347,-0.2393849,-0.025017848,0.0130991535,-0.008495805,-0.010622986
43.5,18.627645,20.00465,23.997602,-0.46429414,-0.26860717,-0.3584096,-0.2323826,0.02147383,0.02684093,-0.008592329,-0.010351868
44.0,21.038168,19.971046,24.272184,-0.5828721,-0.25373116,-0.36660406,-0.22435941,0.01802387,-0.014157818,-0.008601899,-0.010221748
44.5,17.638947,19.909239,24.321762,-0.49205363,-0.23274027,-0.3686315,-0.21533227,-0.020380793,-0.017193807,-0.008446293,-0.010300441
45.0,19.676287,19.873392,24.375282,-0.5931308,-0.17129244,-0.3698318,-0.2055217,-0.015332677,0.01125291,-0.00826074,-0.010366286
45.5,16.877977,19.820585,24.41351,-0.49930394,-0.19732262,-0.37037298,-0.19515648,0.0145657025,0.014207031,-0.008065943,-0.010407094
46.0,18.700163,19.901316,24.282148,-0.57265633,-0.10022512,-0.3734179,-0.18351938,0.018648885,-0.006923975,-0.008106375,-0.010274556
46.5,16.837791,19.984558,24.287226,-0.48743868,-0.16386592,-0.38209337,-0.17182846,-0.0156003395,-0.021656908,-0.0083039235,-0.010139672
47.0,19.088387,20.11519,24.362385,-0.51712435,-0.0782426,-0.3895788,-0.16097945,-0.02548613,0.014876202,-0.008406924,-0.010065261
47.5,17.685806,20.382555,24.406845,-0.493517,-0.15918425,-0.3960028,-0.1500769,0.02469604,0.019710919,-0.008529053,-0.009898033
48.0,18.925407,20.77778,24.351585,-0.50707436,-0.058717273,-0.40365922,-0.14034265,0.02281826,-0.023976889,-0.008793173,-0.009642668
48.5,17.785248,21.156675,24.322222,-0.5025612,-0.13265988,-0.4088887,-0.13008676,-0.028181462,-0.013916545,-0.009122551,-0.009221259
49.0,18.27222,21.542625,24.331379,-0.4829911,-0.029486753,-0.4112987,-0.11614157,-0.020494139,0.029788423,-0.0099844355,-0.008017774
49.5,17.896793,21.778858,24.33043,-0.4930028,-0.09730296,-0.41048062,-0.09903704,0.034102853,0.010358296,-0.010944377,-0.006464278
50.0,18.06245,21.778858,24.24908,-0.44590113,-0.021192009,-0.40879235,-0.082876615,0.013419991,-0.038592752,-0.011888604,-0.004985713
50.5,18.266506,21.778858,24.369686,-0.48258063,-0.07917845,-0.4025197,-0.06237626,-0.038064983,-0.0027712593,-0.012748146,-0.0033775647
51.0,17.90838,21.81169,24.53505,-0.42403886,-0.016846465,-0.3971552,-0.041512195,-0.0035072374,0.045035623,-0.0136817405,-0.0017261998
51.5,18.561789,21.778858,24.607628,-0.47450498,-0.055975143,-0.38663903,-0.023458496,0.04111832,-0.0065760515,-0.014426024,-0.00031505647
52.0,17.841997,21.778858,24.18173,-0.39894605,-0.010406332,-0.37212026,-0.0019284021,-0.010873984,-0.048263315,-0.015321759,0.00090703135
52.5,18.874327,21.891022,23.641882,-0.4598456,-0.03166585,-0.34782997,0.00475071,-0.040141784,0.01799691,-0.015989246,0.0015758779
53.0,17.712202,21.778858,23.143608,-0.3750177,-0.009297741,-0.3225795,0.007913533,0.024883712,0.045465495,-0.016600044,0.0021744024
53.5,18.977999,21.778858,22.816963,-0.43787396,-0.003983865,-0.30273953,0.011515505,0.03745974,-0.028786778,-0.01719774,0.0026077086
54.0,17.565855,21.778858,22.93356,-0.34838152,-0.00878831,-0.28916726,-0.001474501,-0.039962783,-0.040204424,-0.016315632,0.0035787
54.5,19.10121,21.778858,23.080988,-0.39898503,0.017359015,-0.27340743,-0.016442472,-0.030841475,0.042188205,-0.015304249,0.0047324887
55.0,17.756649,21.778858,23.270718,-0.3202211,-0.01631417,-0.25613073,-0.030112708,0.05572484,0.0265097,-0.014396894,0.0061277235
55.5,19.536228,21.778858,23.319118,-0.3563784,0.024712296,-0.24343611,-0.037363917,0.01535895,-0.05415101,-0.01391335,0.007221493
56.0,18.14052,21.815609,23.629566,-0.2905827,-0.0278326,-0.23296803,-0.04684136,-0.06170686,-0.0024933005,-0.013201314,0.008416173
56.5,19.77351,21.778858,23.892574,-0.30074292,0.023577703,-0.22188577,-0.05797906,0.0021494455,0.051231667,-0.012543593,0.009812864
